info_latitude,info_longitude,info_count
47.6503122,-122.3072545,1
47.8761063,-122.2434082,1
37.2512856,-79.9412537,1
26.4154899,50.09848,1
44.1916995,-88.4566623,1
42.9903679,-87.9516296,1
39.9429016,32.8605003,1
42.1716468,-72.5863695,1
38.0341369,-84.50857,1
34.4311028,-119.7221375,1
34.7491875,-92.3532486,1
44.0221291,-92.466629,1
41.8979721,-87.6252289,1
44.4722366,-88.0866928,1
43.076085,-89.4290999,1
43.5367289,-96.7428649,1
44.88451,-93.3277435,1
43.0111732,-88.2430801,1
43.0081482,-88.2684174,1
43.1777153,-87.9144745,1
39.0071766,-94.5595944,1
44.4722366,-88.0866928,1
49.80591,9.95799,1
43.059272,-89.401512,1
43.059272,-89.401512,1
43.6124039,-116.1925888,1
31.334877,-89.3674545,1
45.8896027,-89.7113266,1
36.0976295,-94.1581573,1
42.9595048,-87.990375,1
40.7323532,-89.5947495,1
43.2574962,-87.9242163,1
35.0935707,-106.5559998,1
41.7638605,-72.6588039,1
43.0386734,-88.0264893,1
42.9392242,-85.5214691,1
40.7323532,-89.5947495,1
43.059272,-89.401512,1
42.2551193,-70.924408,1
41.2529144,-96.1743546,1
48.1925163,-114.3086853,1
29.5810795,-98.5054855,1
32.7847508,-79.9485826,1
42.9757603,-89.5327364,1
42.3483658,-71.0976944,1
41.546379,-93.759918,1
41.25785,-96.04177,1
40.0070419,-79.0774918,1
38.1450436,-85.5878862,1
37.1214333,-93.3122253,1
39.1366824,-84.5012375,1
41.1544298,-81.3333656,1
42.6533127,-73.7761307,1
43.5338593,-96.7150497,1
42.8236084,-106.3071976,1
43.0828018,-89.522934,1
44.8911855,-89.5815848,1
43.2574962,-87.9242163,1
44.4722366,-88.0866928,1
43.076085,-89.4290999,1
29.6415482,-82.3484421,1
44.0221291,-92.466629,1
43.0740395,-89.3785706,1
38.6361802,-90.2660832,1
39.7775383,-86.1638184,1
43.0823815,-88.2073543,1
26.5548592,-81.9002304,1
41.5751762,-90.4501801,1
42.6868106,-89.0325084,1
33.4330018,-86.8140171,1
33.7912025,-84.2831039,1
40.7697487,-89.6866913,1
40.0942192,-88.3164749,1
43.076085,-89.4290999,1
39.0561523,-94.6106262,1
45.4988098,-122.6856537,1
51.06462,-114.131,1
45.0507917,-92.8583933,1
53.8662682,10.6808796,1
44.6417885,-89.7367401,1
43.076085,-89.4290999,1
41.8944054,-87.6231308,1
41.8971481,-87.7893906,1
38.6094971,-90.2991028,1
40.5116768,-105.0635986,1
31.0840549,-97.3603058,1
44.9472961,-93.0881424,1
26.3449841,-80.0718231,1
35.9316483,-84.1121216,1
40.725856,-73.980331,1
40.7022429,-89.5909095,1
44.6785164,-90.177948,1
32.7993507,-117.1182865,1
43.5564264,-89.4680724,1
44.4722366,-88.0866928,1
44.4722366,-88.0866928,1
45.5935353,-94.2015302,1
35.0959587,-106.5949707,1
45.141376,-89.649772,1
41.257198,-95.999061,1
45.134594,-93.274437,1
34.202549,-77.8294144,1
42.4792213,-83.2153625,1
38.682292,-90.4051242,1
37.9403305,-87.3715515,1
39.1471214,-84.4297485,1
33.3663788,-111.7926483,1
38.9212074,-120.0055618,1
32.75,-97.1160431,1
48.8215027,-122.4240952,1
39.2715874,-76.6731033,1
42.6529503,-73.7758255,1
44.9547005,-93.4269028,1
44.9658966,-89.668335,1
43.0899925,-87.8751068,1
41.2763764,-72.5157925,1
35.6851578,-105.9317017,1
43.060928,-88.043212,1
40.7729854,-111.8369103,1
27.9388103,-82.4658432,1
59.8978,10.7912199,1
39.0225983,-94.6338043,1
45.175567,-89.681762,1
40.6090012,-89.4547424,1
47.8175037,-122.2074126,1
42.4199257,-83.1821823,1
45.5730286,-94.1688995,1
42.1306419,-87.8135529,1
39.6666603,-104.9673004,1
40.2754898,-76.6493835,1
43.0525208,-87.9938126,1
44.8244514,-85.656105,1
29.6014233,-98.5164719,1
36.2816467,139.0772705,1
41.667098,-91.590843,1
37.5150185,127.0164719,1
47.5927849,-117.419632,1
44.76588,-91.308746,1
43.065104,-89.415066,1
43.065104,-89.415066,1
39.0741997,-84.3897324,1
48.1390991,11.5144997,1
44.840839,-93.466278,1
43.1917038,-89.2669296,1
37.5291367,-77.4163361,1
54.08816,13.40253,1
27.944217,-82.457733,1
39.775309,-86.1755843,1
41.8511314,-87.8736343,1
41.7585487,-86.1493378,1
44.9380913,-93.30056,1
42.6868106,-89.0325084,1
34.4221611,-119.6465607,1
38.3670273,-83.1033554,1
44.9472961,-93.0881424,1
43.0573044,-89.4657898,1
38.4124672,-82.4411206,1
42.944438,-85.629005,1
41.7228889,-87.6917496,1
32.3073158,-110.8425293,1
42.9219093,-87.9854202,1
43.0613136,-89.4391403,1
47.6519051,-117.4232941,1
43.059272,-89.401512,1
43.0994873,-87.9119492,1
39.2986838,-76.5922426,1
43.0703163,-89.4316788,1
43.0087837,-89.4010319,1
30.3962784,-97.7591248,1
43.0802803,-89.4778748,1
46.8159409,-96.8247147,1
43.0497513,-89.4423523,1
43.21035,-88.0570831,1
34.170993,-118.589744,1
43.1297264,-89.3821411,1
37.075939,-113.55027,1
40.673087,-73.927944,1
43.314579,-88.0353317,1
39.8074455,-89.704277,1
44.6713371,-90.1898346,1
35.047184,-85.2876282,1
44.9472961,-93.0881424,1
47.6487941,-117.4192672,1
33.5847664,-111.7891312,1
40.7668343,-89.6776657,1
38.282554,-85.747322,1
41.7145494,-86.1684497,1
44.8244514,-85.656105,1
39.2975345,-76.5908868,1
43.1777153,-87.9144745,1
47.5356331,-122.1776657,1
42.3359462,-71.1075349,1
45.0643654,-93.5464783,1
43.0365562,-88.0101013,1
41.8944054,-87.6231308,1
35.0831833,-106.4830475,1
42.2606506,-87.8744736,1
39.0315895,-94.629509,1
30.3296947,-91.0259094,1
37.2506981,-79.946579,1
43.60466,-96.7106934,1
44.4330212,-73.1847026,1
44.9668388,-93.2985458,1
21.456499,-158.005935,1
43.076085,-89.4290999,1
47.6487941,-117.4192672,1
40.6751289,-80.31073,1
41.483532,-87.033432,1
44.9675484,-93.3319168,1
38.6361802,-90.2660832,1
42.8731956,-97.4079437,1
43.0386734,-88.0264893,1
37.7271319,-89.2629162,1
43.0053329,-89.4384689,1
44.4722366,-88.0866928,1
44.0221291,-92.466629,1
43.797958,-91.100402,1
44.6655083,-90.1878204,1
43.076085,-89.4290999,1
35.179409,-106.4908981,1
44.4403229,-88.0285645,1
43.0196381,-89.4381027,1
42.2865448,-83.7153625,1
29.2748413,-81.0402756,1
41.9141045,-87.6453857,1
45.6577187,-89.4307861,1
